||Co Values for 75mm ≤D≤ 3000mm->colspan|||
||θ->colspan|||
L/Do|30.0|60.0|90.0|120.0|150.0
0.00|0.91v|0.84v|0.74v|0.66v|0.58v
0.05|0.80v|0.67v|0.60v|0.56v|0.52v
0.1|0.55v|0.41v|0.41v|0.43v|0.46v
0.15|0.53v|0.25v|0.27v|0.33v|0.41v
0.20|0.37v|0.21v|0.24v|0.3v|0.40v
0.25|0.30v|0.17v|0.21v|0.28v|0.38v
0.50|0.21v|0.14v|0.20v|0.27v|0.37v
0.75|0.17v|0.12v|0.18v|0.26v|0.36v
1.00|0.14v|0.1v|0.16v|0.24v|0.35v
