|||||Cb Values->colspan|||||
|||||Qb/Qc->colspan|||||
As/Ac|Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.1|-13.7v|-1.9v|-0.02v|0.54v|0.75v|0.85v|0.89v|0.92v|0.96v
0.1|0.2|-57.73v|-10.44v|-2.88v|-0.64v|0.22v|0.59v|0.76v|0.85v|0.94v
0.1|0.3|-131.1v|-24.63v|-7.59v|-2.53v|-0.6v|0.24v|0.61v|0.79v|0.92v
0.1|0.4|-233.8v|-44.46v|-14.15v|-5.15v|-1.71v|-0.23v|0.43v|0.72v|0.88v
0.1|0.5|-365.9v|-69.96v|-22.58v|-8.5v|-3.12v|-0.81v|0.21v|0.65v|0.82v
0.1|0.6|-527.2v|-101.1v|-32.83v|-12.55v|-4.8v|-1.49v|-0.02v|0.59v|0.79v
0.1|0.7|-717.8v|-137.8v|-44.9v|-17.28v|-6.74v|-2.23v|-0.23v|0.6v|0.85v
0.1|0.8|-937.7v|-180.1v|-58.79v|-22.73v|-8.96v|-3.06v|-0.45v|0.63v|0.95v
0.1|0.9|-1187v|-228.1v|-74.53v|-28.88v|-11.45v|-3.99v|-0.69v|0.67v|1.07v
0.1|1|-1465v|-281.7v|-92.1v|-35.74v|-14.23v|-5.01v|-0.94v|0.74v|1.22v
0.2|0.1|-5.52v|-0.26v|0.56v|0.79v|0.88v|0.92v|0.95v|0.97v|1.05v
0.2|0.2|-25.19v|-3.97v|-0.64v|0.32v|0.67v|0.82v|0.9v|0.96v|1.08v
0.2|0.3|-58.03v|-10.14v|-2.63v|-0.45v|0.36v|0.69v|0.84v|0.93v|1.08v
0.2|0.4|-104.1v|-18.8v|-5.4v|-1.51v|-0.07v|0.52v|0.77v|0.88v|1.01v
0.2|0.5|-163.4v|-29.97v|-8.97v|-2.87v|-0.62v|0.29v|0.67v|0.8v|0.84v
0.2|0.6|-235.6v|-43.47v|-13.22v|-4.44v|-1.2v|0.12v|0.65v|0.83v|0.85v
0.2|0.7|-320.9v|-59.38v|-18.21v|-6.25v|-1.84v|-0.04v|0.68v|0.91v|0.93v
0.2|0.8|-419.3v|-77.73v|-23.95v|-8.33v|-2.56v|-0.22v|0.72v|1.02v|1.02v
