|||Co Values for 325≤ H ≤3000v->colspan|||
|||L/H->colspan|||
r/H|0|1|2|3|5|10
0.5|2.5v|2.05v|1.6v|1.33v|0.8v|0.8v
0.75|2v|1.6v|1.2v|1.02v|0.67v|0.67v
1|1.2v|0.94v|0.67v|0.56v|0.33v|0.33v
1.5|1v|0.79v|0.57v|0.48v|0.3v|0.3v
2|0.8v|0.64v|0.47v|0.4v|0.26v|0.26v
