||||||Co  Values->colspan|||||||
||||||θ->colspan|||||||
A1/A0|0|3|5|10|15|20|30|45|60|90|120|150|180
0.063|0.00v|0.17v|0.19v|0.30v|0.46v|0.53v|0.64v|0.77v|0.88v|0.95v|0.95v|0.94v|0.93v
0.10|0.00v|0.17v|0.19v|0.30v|0.45v|0.53v|0.64v|0.75v|0.84v|0.89v|0.89v|0.89v|0.88v
0.167|0.00v|0.18v|0.19v|0.30v|0.44v|0.53v|0.63v|0.72v|0.78v|0.79v|0.79v|0.79v|0.79v
0.25|0.00v|0.16v|0.18v|0.25v|0.36v|0.45v|0.52v|0.58v|0.62v|0.64v|0.64v|0.64v|0.64v
0.50|0.00v|0.14v|0.14v|0.15v|0.22v|0.25v|0.30v|0.33v|0.33v|0.33v|0.32v|0.31v|0.30v
1.00|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
2.00|0.00v|0.30v|0.27v|0.26v|0.28v|0.25v|0.19v|0.23v|0.27v|0.52v|0.75v|0.91v|0.95v
4.00|0.00v|1.60v|1.14v|0.84v|0.85v|0.86v|0.76v|0.90v|1.09v|2.78v|4.30v|5.65v|6.55v
6.00|0.00v|3.89v|3.04v|1.84v|1.77v|1.78v|1.73v|2.18v|2.67v|6.67v|10.07v|13.09v|15.18v
10.00|0.00v|11.80v|9.31v|5.40v|5.18v|5.15v|5.05v|6.44v|7.94v|19.06v|28.55v|36.75v|42.75v
