||||Cb1 Values->colspan|||||
||||Qb1/Qc->colspan|||||
Ab1/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.3|0.91v|0.27v|0.12v|0.07v|0.04v|0.03v|0.02v|0.02v|0.01v
0.4|2.15v|0.73v|0.38v|0.21v|0.13v|0.09v|0.07v|0.06v|0.06v
0.5|5.09v|1.36v|0.78v|0.49v|0.32v|0.22v|0.16v|0.13v|0.13v
0.6|11.31v|2.42v|1.26v|0.88v|0.64v|0.44v|0.33v|0.25v|0.25v
0.7|22.05v|4.58v|1.96v|1.28v|1v|0.79v|0.6v|0.45v|0.45v
0.8|39.24v|8.5v|3.37v|1.9v|1.36v|1.1v|0.92v|0.76v|0.76v
0.9|64.01v|14.42v|5.71v|2.99v|1.93v|1.45v|1.2v|1.03v|1.03v
1|98.73v|22.94v|9.26v|4.77v|2.9v|2.02v|1.56v|1.31v|1.31v
