||||||for D > 350mm (14)->colspan|||||||
L/D0|0|0.2|0.4|0.6|0.8|1|1.2|1.4|1.6|1.8|2|2.2|2.4
Co|0.4v|0.35v|0.31v|0.27v|0.24v|0.21v|0.19v|0.16v|0.13v|0.1v|0.08v|0.05v|0.02v
