|||||Co Values for 325≤Do≤2600->colspan||||||
L/Do|0.0|0.5|1.0|1.5|2.0|2.5|3.0|3.5|4.0|5.0|10.0
Co|3.2v|2.9v|2.6v|2.3v|2v|1.83v|1.67v|1.5v|1.33v|1v|1v
