|||Co Values for 325≤ H ≤3000->colspan|||
|||L/H->colspan|||
r/H|0|1|2|3|5|10
0.5|0.8v|0.64v|0.47v|0.4v|0.26v|0.26v
0.75|0.53v|0.43v|0.33v|0.28v|0.18v|0.18v
1|0.49v|0.4v|0.31v|0.27v|0.17v|0.17v
1.5|0.4v|0.34v|0.28v|0.24v|0.16v|0.16v
2|0.26v|0.24v|0.22v|0.19v|0.14v|0.14v
