|||C1 Values->colspan||||
|||A0/A1->colspan||||
θ|1.00|1.50|2.00|2.50|3.00|3.50|4.00
0|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
10|0.00v|0.23v|0.72v|1.31v|2.07v|2.94v|4.00v
15|0.00v|0.52v|1.32v|2.38v|3.60v|5.15v|7.04v
20|0.00v|0.70v|1.72v|3.00v|4.77v|6.86v|9.28v
25|0.00v|0.81v|1.96v|3.44v|5.22v|7.60v|10.24v
30|0.00v|0.95v|2.12v|3.69v|5.76v|8.21v|11.04v
