||||Cb1 Values->colspan|||||
||||Qb1/Qc->colspan|||||
Ab1/Ac|0.10|0.20|0.30|0.40|0.50|0.60|0.70|0.80|0.90
0.1|1.34v|0.53v|0.37v|0.3v|0.29v|0.28v|0.27v|0.27v|0.27v
0.2|4.43v|1.25v|0.66v|0.45v|0.39v|0.35v|0.32v|0.31v|0.3v
0.3|9.58v|2.45v|1.16v|0.71v|0.56v|0.47v|0.41v|0.37v|0.35v
0.4|16.87v|4.17v|1.88v|1.09v|0.73v|0.53v|0.38v|0.33v|0.3v
0.5|26.19v|6.35v|2.79v|1.56v|1.01v|0.71v|0.49v|0.41v|0.37v
0.6|37.57v|9.02v|3.89v|2.14v|1.35v|0.92v|0.62v|0.52v|0.45v
0.7|51.03v|12.17v|5.2v|2.82v|1.75v|1.18v|0.78v|0.64v|0.54v
0.8|66.55v|15.81v|6.71v|3.61v|2.22v|1.48v|0.96v|0.78v|0.65v
0.9|84.15v|19.93v|8.42v|4.5v|2.74v|1.81v|1.17v|0.94v|0.78v
