|||Co Values->colspan|||
|||L/Le->colspan|||
Ab/A0|0.00|0.12|0.25|0.50|1.00|10.00
0.40|3.20v|2.50v|1.80v|0.80v|0.00v|0.00v
0.50|2.20v|1.80v|1.20v|0.53v|0.00v|0.00v
0.60|1.60v|1.40v|0.80v|0.40v|0.00v|0.00v
0.70|1.00v|0.80v|0.53v|0.26v|0.00v|0.00v
0.80|0.80v|0.67v|0.47v|0.18v|0.00v|0.00v
0.90|0.53v|0.47v|0.33v|0.18v|0.00v|0.00v
1.00|0.53v|0.47v|0.33v|0.18v|0.00v|0.00v
