|||Co Values for 75mm ≤D≤ 3000mm->colspan|||
|||θ->colspan|||
L/Do|0.0|3.0|6.0|9.0|12.0|15.0
0.10|2.63v|2.37v|2.11v|1.84v|1.58v|1.32v
0.15|2.23v|1.99v|1.76v|1.52v|1.28v|1.05v
0.2|1.83v|1.62v|1.41v|1.19v|0.98v|0.77v
0.30|1.53v|1.34v|1.16v|0.97v|0.79v|0.60v
0.40|1.39v|1.21v|1.03v|0.84v|0.66v|0.48v
0.50|1.31v|1.13v|0.95v|0.77v|0.59v|0.41v
0.75|1.12v|0.95v|0.78v|0.62v|0.45v|0.29v
1.00|1.06v|0.9v|0.74v|0.57v|0.41v|0.25v
