||||Co Values for 75mm ≤D≤ 3000mm->colspan|||||
||||L/D->colspan|||||
t/D|0.0|0.0|0.0|0.1|0.1|0.2|0.3|0.5|10.0
0.00|0.50v|0.57v|0.68v|0.8v|0.86v|0.92v|0.97v|1.0v|1.0v
0.02|0.50v|0.51v|0.52v|0.55v|0.6v|0.66v|0.69v|0.72v|0.72v
0.05|0.50v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v
10.00|0.50v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v
