||||Cb1 Values->colspan|||||
||||Qb1/Qc->colspan|||||
Ab1/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.3|0.37v|0.13v|0.06v|0.04v|0.02v|0.02v|0.01v|0.01v|0.01v
0.4|1.54v|0.31v|0.17v|0.11v|0.07v|0.05v|0.03v|0.03v|0.02v
0.5|4.22v|0.76v|0.33v|0.21v|0.16v|0.11v|0.08v|0.06v|0.05v
0.6|9.67v|1.81v|0.66v|0.36v|0.26v|0.2v|0.16v|0.12v|0.1v
0.7|19.09v|3.79v|1.38v|0.67v|0.41v|0.29v|0.25v|0.22v|0.18v
0.8|34.49v|7.22v|2.71v|1.31v|0.75v|0.49v|0.35v|0.28v|0.25v
0.9|57.07v|12.38v|4.79v|2.36v|1.35v|0.85v|0.58v|0.43v|0.34v
1|89.21v|19.88v|7.88v|3.96v|2.28v|1.44v|0.97v|0.7v|0.52v
