|||||Cb Values->colspan|||||
|||||Qb/Qc->colspan|||||
As/Ac|Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.1|-13.39v|-1.73v|0.13v|0.68v|0.89v|0.98v|1.02v|1.05v|1.08v
0.1|0.2|-56.68v|-9.99v|-2.53v|-0.32v|0.52v|0.88v|1.04v|1.12v|1.18v
0.1|0.3|-128.9v|-23.79v|-6.99v|-2.02v|-0.12v|0.68v|1.04v|1.2v|1.29v
0.1|0.4|-230v|-43.12v|-13.26v|-4.4v|-1.04v|0.4v|1.03v|1.3v|1.42v
0.1|0.5|-360.1v|-68.01v|-21.33v|-7.49v|-2.23v|0.02v|1v|1.4v|1.53v
0.1|0.6|-519.1v|-98.44v|-31.2v|-11.27v|-3.69v|-0.46v|0.95v|1.52v|1.66v
0.1|0.7|-706.9v|-134.4v|-42.83v|-15.7v|-5.38v|-0.99v|0.93v|1.7v|1.88v
0.1|0.8|-923.6v|-175.8v|-56.25v|-20.82v|-7.34v|-1.6v|0.9v|1.91v|2.15v
0.1|0.9|-1169v|-222.8v|-71.47v|-26.62v|-9.56v|-2.3v|0.87v|2.14v|2.44v
0.1|1|-1444v|-275.2v|-88.47v|-33.1v|-12.04v|-3.08v|0.84v|2.4v|2.76v
0.2|0.1|-5.33v|-0.12v|0.69v|0.92v|1.01v|1.04v|1.06v|1.08v|1.13v
0.2|0.2|-24.56v|-3.63v|-0.36v|0.59v|0.93v|1.08v|1.14v|1.19v|1.27v
0.2|0.3|-56.72v|-9.54v|-2.15v|-0.01v|0.78v|1.1v|1.23v|1.3v|1.39v
0.2|0.4|-101.8v|-17.86v|-4.68v|-0.87v|0.52v|1.09v|1.32v|1.41v|1.48v
0.2|0.5|-159.9v|-28.59v|-7.98v|-2.02v|0.17v|1.05v|1.4v|1.51v|1.51v
0.2|0.6|-230.8v|-41.68v|-11.98v|-3.39v|-0.24v|1.03v|1.53v|1.66v|1.61v
0.2|0.7|-314.6v|-57.1v|-16.68v|-4.98v|-0.69v|1.04v|1.71v|1.9v|1.82v
0.2|0.8|-411.2v|-74.9v|-22.1v|-6.82v|-1.21v|1.04v|1.92v|2.16v|2.05v
