||Co Values for 75mm ≤D≤ 3000mm|||
||θ|||
L/Do|30.0|60.0|90.0|120.0|150.0
0.00|0.50v|0.5v|0.50v|0.5v|0.50v
0.05|0.36v|0.3v|0.34v|0.39v|0.44v
0.1|0.25v|0.18v|0.25v|0.33v|0.41v
0.15|0.20v|0.15v|0.23v|0.31v|0.40v
0.20|0.19v|0.15v|0.22v|0.31v|0.40v
0.40|0.16v|0.13v|0.21v|0.3v|0.40v
0.60|0.13v|0.12v|0.20v|0.3v|0.40v
