||||Cb Values|||||
||||Qb/Qc|||||
Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|2.06v|1.2v|0.99v|0.87v|0.88v|0.87v|0.87v|0.86v|0.86v
0.2|5.15v|1.92v|1.29v|1.03v|0.99v|0.94v|0.92v|0.9v|0.89v
0.3|10.3v|3.12v|1.78v|1.28v|1.16v|1.06v|1.01v|0.97v|0.94v
0.4|15.9v|4.35v|2.24v|1.48v|1.11v|0.88v|0.8v|0.75v|0.72v
0.5|24.31v|6.31v|3.04v|1.9v|1.35v|1.03v|0.91v|0.83v|0.78v
0.6|34.6v|8.7v|4.03v|2.41v|1.65v|1.22v|1.04v|0.94v|0.87v
0.7|46.75v|11.53v|5.19v|3.01v|2v|1.44v|1.2v|1.06v|0.96v
0.8|60.78v|14.79v|6.53v|3.7v|2.4v|1.69v|1.38v|1.2v|1.07v
0.9|76.67v|18.49v|8.05v|4.49v|2.86v|1.98v|1.59v|1.36v|1.2v
Qs/Qc|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|1.0
Cs|32.40v|6.40v|2.18v|0.90v|0.40v|0.18v|0.07v|0.03v|0.00v
