|||||Cb Values|||||
|||||Qb/Qc|||||
As/Ac|Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
|0.1|-13.86v|-1.90v|0.03v|0.61v|0.83v|0.92v|0.96v|0.98v|0.98v
|0.2|-58.25v|-10.48v|-2.80v|-0.51v|0.36v|0.74v|0.90v|0.96v|0.96v
|0.3|-132.23v|-24.75v|-7.50v|-2.36v|-0.39v|0.45v|0.82v|0.96v|0.96v
|0.4|-235.84v|-44.74v|-14.07v|-4.93v|-1.43v|0.07v|0.73v|0.98v|0.99v
0.1|0.5|-369.15v|-70.45v|-22.51v|-8.23v|-2.76v|-0.42v|0.61v|1.01v|1.05v
|0.6|-532.21v|-101.89v|-32.83v|-12.26v|-4.38v|-1.00v|0.48v|1.06v|1.13v
|0.7|-725.06v|-139.08v|-45.04v|-17.02v|-6.30v|-1.70v|0.33v|1.13v|1.24v
|0.8|-947.77v|-182.03v|-59.15v|-22.53v|-8.52v|-2.50v|0.16v|1.22v|1.38v
|0.9|-1200.00v|-230.76v|-75.15v|-28.78v|-11.03v|-3.40v|-0.03v|1.32v|1.55v
|1|-1483.00v|-285.27v|-93.06v|-35.78v|-13.84v|-4.41v|-0.25v|1.43v|1.75v
|0.1|-5.86v|-0.35v|0.54v|0.81v|0.91v|0.95v|0.97v|0.97v|0.96v
|0.2|-26.08v|-4.19v|-0.70v|0.33v|0.71v|0.87v|0.93v|0.95v|0.93v
|0.3|-59.71v|-10.53v|-2.72v|-0.43v|0.43v|0.78v|0.91v|0.95v|0.91v
|0.4|-106.78v|-19.39v|-5.53v|-1.46v|0.05v|0.67v|0.91v|0.97v|0.91v
0.2|0.5|-167.36v|-30.77v|-9.12v|-2.78v|-0.42v|0.55v|0.93v|1.02v|0.93v
|0.6|-241.50v|-44.68v|-13.50v|-4.37v|-0.97v|0.42v|0.96v|1.10v|0.98v
|0.7|-329.25v|-61.15v|-18.68v|-6.25v|-1.62v|0.27v|1.02v|1.21v|1.06v
|0.8|-430.67v|-80.18v|-24.67v|-8.42v|-2.37v|0.10v|1.09v|1.35v|1.17v
|0.9|-545.81v|-101.78v|-31.47v|-10.89v|-3.22v|-0.08v|1.17v|1.52v|1.31v
|1|-674.72v|-125.98v|-39.08v|-13.64v|-4.17v|-0.28v|1.28v|1.72v|1.48v
|0.1|-3.26v|0.15v|0.70v|0.86v|0.93v|0.96v|0.97v|0.97v|0.95v
|0.2|-15.50v|-2.16v|-0.04v|0.58v|0.81v|0.90v|0.93v|0.94v|0.91v
|0.3|-35.76v|-5.90v|-1.20v|0.16v|0.66v|0.85v|0.92v|0.92v|0.88v
|0.4|-64.09v|-11.09v|-2.78v|-0.38v|0.48v|0.82v|0.93v|0.94v|0.86v
0.3|0.5|-100.54v|-17.73v|-4.78v|-1.06v|0.29v|0.80v|0.97v|0.98v|0.87v
|0.6|-145.16v|-25.85v|-7.21v|-1.86v|0.06v|0.80v|1.05v|1.05v|0.90v
|0.7|-198.01v|-35.46v|-10.08v|-2.81v|-0.19v|0.82v|1.15v|1.16v|0.96v
|0.8|-259.13v|-46.56v|-13.39v|-3.89v|-0.47v|0.85v|1.28v|1.30v|1.05v
|0.9|-328.59v|-59.18v|-17.15v|-5.11v|-0.78v|0.89v|1.44v|1.47v|1.17v
|1|-406.44v|-73.33v|-21.37v|-6.48v|-1.12v|0.94v|1.63v|1.68v|1.32v
|0.1|-1.99v|0.38v|0.77v|0.89v|0.94v|0.96v|0.97v|0.97v|0.95v
|0.2|-10.31v|-1.18v|0.26v|0.69v|0.84v|0.91v|0.93v|0.93v|0.90v
|0.3|-23.96v|-3.65v|-0.48v|0.43v|0.75v|0.88v|0.91v|0.91v|0.86v
|0.4|-42.98v|-7.03v|-1.46v|0.11v|0.67v|0.87v|0.93v|0.91v|0.84v
0.4|0.5|-67.44v|-11.35v|-2.69v|-0.26v|0.59v|0.90v|0.97v|0.94v|0.84v
|0.6|-97.39v|-16.60v|-4.17v|-0.69v|0.52v|0.95v|1.06v|1.01v|0.87v
|0.7|-132.88v|-22.81v|-5.91v|-1.17v|0.46v|1.03v|1.17v|1.11v|0.92v
|0.8|-173.96v|-29.99v|-7.90v|-1.73v|0.40v|1.15v|1.33v|1.24v|1.00v
|0.9|-220.69v|-38.15v|-10.16v|-2.35v|0.35v|1.29v|1.51v|1.40v|1.11v
|1|-273.12v|-47.31v|-12.70v|-3.04v|0.29v|1.45v|1.74v|1.61v|1.26v
|0.1|-1.26v|0.51v|0.81v|0.90v|0.94v|0.96v|0.97v|0.96v|0.95v
|0.2|-7.26v|-0.62v|0.43v|0.75v|0.86v|0.91v|0.93v|0.93v|0.90v
|0.3|-16.99v|-2.35v|-0.07v|0.57v|0.80v|0.89v|0.91v|0.90v|0.87v
|0.4|-30.49v|-4.67v|-0.72v|0.38v|0.76v|0.89v|0.92v|0.90v|0.85v
0.5|0.5|-47.82v|-7.61v|-1.50v|0.19v|0.75v|0.93v|0.97v|0.93v|0.85v
|0.6|-69.03v|-11.17v|-2.42v|-0.03v|0.76v|1.01v|1.05v|0.98v|0.88v
|0.7|-94.17v|-15.37v|-3.49v|-0.26v|0.80v|1.13v|1.17v|1.07v|0.93v
|0.8|-123.30v|-20.22v|-4.71v|-0.50v|0.87v|1.29v|1.33v|1.20v|1.02v
|0.9|-156.48v|-25.73v|-6.09v|-0.77v|0.96v|1.48v|1.53v|1.36v|1.13v
|1|-193.74v|-31.92v|-7.63v|-1.07v|1.06v|1.71v|1.77v|1.56v|1.28v
|0.1|-0.79v|0.59v|0.83v|0.91v|0.95v|0.96v|0.97v|0.97v|0.95v
|0.2|-5.28v|-0.27v|0.54v|0.78v|0.88v|0.91v|0.93v|0.93v|0.91v
|0.3|-12.43v|-1.51v|0.18v|0.66v|0.83v|0.89v|0.91v|0.91v|0.89v
|0.4|-22.29v|-3.15v|-0.25v|0.55v|0.82v|0.90v|0.92v|0.91v|0.88v
0.6|0.5|-34.92v|-5.19v|-0.74v|0.46v|0.84v|0.95v|0.96v|0.93v|0.89v
|0.6|-50.35v|-7.64v|-1.30v|0.38v|0.91v|1.05v|1.04v|0.98v|0.93v
|0.7|-68.66v|-10.52v|-1.94v|0.32v|1.01v|1.18v|1.16v|1.07v|0.99v
|0.8|-89.89v|-13.83v|-2.65v|0.26v|1.15v|1.36v|1.33v|1.19v|1.08v
|0.9|-114.09v|-17.61v|-3.46v|0.22v|1.32v|1.59v|1.53v|1.35v|1.21v
|1|-141.33v|-21.84v|-4.35v|0.18v|1.54v|1.85v|1.77v|1.54v|1.37v
|0.1|-0.47v|0.65v|0.85v|0.92v|0.95v|0.96v|0.97v|0.97v|0.96v
|0.2|-3.9v|-0.03v|0.61v|0.81v|0.89v|0.92v|0.94v|0.94v|0.93v
|0.3|-9.25v|-0.94v|0.35v|0.72v|0.85v|0.9v|0.92v|0.92v|0.92v
|0.4|-16.54v|-2.1v|0.07v|0.66v|0.85v|0.91v|0.93v|0.92v|0.92v
0.7|0.5|-25.85v|-3.51v|-0.22v|0.64v|0.9v|0.97v|0.97v|0.94v|0.95v
|0.6|-37.21v|-5.18v|-0.54v|0.65v|1v|1.07v|1.05v|1v|1v
|0.7|-50.68v|-7.13v|-0.87v|0.7v|1.14v|1.22v|1.17v|1.08v|1.08v
|0.8|-66.31v|-9.37v|-1.24v|0.78v|1.33v|1.41v|1.33v|1.21v|1.2v
|0.9|-84.17v|-11.92v|-1.64v|0.89v|1.56v|1.65v|1.53v|1.36v|1.34v
|1|-104.29v|-14.78v|-2.09v|1.03v|1.84v|1.94v|1.78v|1.56v|1.52v
|0.1|-0.23v|0.69v|0.87v|0.93v|0.95v|0.97v|0.97v|0.98v|0.97v
|0.2|-2.9v|0.15v|0.67v|0.83v|0.9v|0.93v|0.94v|0.95v|0.96v
|0.3|-6.91v|-0.53v|0.47v|0.76v|0.87v|0.91v|0.93v|0.94v|0.96v
|0.4|-12.31v|-1.34v|0.3v|0.74v|0.88v|0.93v|0.94v|0.95v|0.98v
0.8|0.5|-19.16v|-2.29v|0.15v|0.77v|0.94v|0.99v|0.98v|0.98v|1.03v
|0.6|-27.5v|-3.39v|0.01v|0.84v|1.06v|1.09v|1.06v|1.03v|1.11v
|0.7|-37.38v|-4.66v|-0.11v|0.97v|1.23v|1.24v|1.18v|1.12v|1.21v
|0.8|-48.87v|-6.11v|-0.22v|1.15v|1.46v|1.45v|1.35v|1.25v|1.35v
|0.9|-62.01v|-7.75v|-0.33v|1.37v|1.73v|1.7v|1.55v|1.41v|1.52v
|1|-76.85v|-9.59v|-0.44v|1.63v|2.06v|2v|1.8v|1.61v|1.73v
|0.1|-0.05v|0.72v|0.88v|0.93v|0.96v|0.97v|0.98v|0.99v|0.99v
|0.2|-2.14v|0.28v|0.71v|0.85v|0.91v|0.94v|0.96v|0.97v|0.99v
|0.3|-5.14v|-0.21v|0.57v|0.8v|0.88v|0.92v|0.95v|0.97v|1.02v
|0.4|-9.09v|-0.76v|0.47v|0.8v|0.91v|0.94v|0.96v|0.98v|1.06v
0.9|0.5|-14.06v|-1.36v|0.42v|0.86v|0.98v|1.01v|1.01v|1.02v|1.14v
|0.6|-20.08v|-2.04v|0.42v|0.99v|1.11v|1.12v|1.09v|1.09v|1.24v
|0.7|-27.21v|-2.79v|0.47v|1.17v|1.3v|1.27v|1.21v|1.19v|1.38v
|0.8|-35.5v|-3.63v|0.55v|1.42v|1.55v|1.49v|1.38v|1.32v|1.55v
|0.9|-45.01v|-4.57v|0.66v|1.72v|1.86v|1.75v|1.59v|1.49v|1.75v
|1|-55.79v|-5.64v|0.8v|2.08v|2.22v|2.06v|1.84v|1.69v|1.99v
|0.1|0.09v|0.75v|0.89v|0.94v|0.97v|0.98v|0.99v|1v|1.01v
|0.2|-1.54v|0.39v|0.74v|0.87v|0.92v|0.95v|0.97v|0.99v|1.03v
|0.3|-3.75v|0.03v|0.64v|0.83v|0.9v|0.94v|0.97v|1v|1.08v
|0.4|-6.57v|-0.32v|0.61v|0.85v|0.93v|0.97v|0.99v|1.03v|1.16v
1.0|0.5|-10.05v|-0.65v|0.64v|0.94v|1.02v|1.03v|1.04v|1.08v|1.26v
|0.6|-14.24v|-0.98v|0.74v|1.1v|1.16v|1.15v|1.13v|1.16v|1.4v
|0.7|-19.2v|-1.32v|0.91v|1.33v|1.37v|1.31v|1.26v|1.27v|1.57v
|0.8|-24.98v|-1.69v|1.14v|1.63v|1.63v|1.53v|1.43v|1.41v|1.78v
|0.9|-31.62v|-2.1v|1.42v|2v|1.96v|1.8v|1.64v|1.59v|2.02v
|1|-39.19v|-2.55v|1.76v|2.43v|2.35v|2.12v|1.9v|1.81v|2.3v
|||||Cs Values|||||
|||||Qs/Qc|||||
As/Ac|Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
|0.1|7.87v|1.7v|1.07v|0.92v|0.86v|0.84v|0.82v|0.82v|0.81v
|0.2|4.21v|1.3v|0.97v|0.88v|0.85v|0.83v|0.82v|0.81v|0.81v
|0.3|3.02v|1.16v|0.93v|0.87v|0.84v|0.83v|0.82v|0.81v|0.81v
|0.4|2.45v|1.1v|0.92v|0.86v|0.84v|0.83v|0.82v|0.81v|0.81v
0.1|0.5|2.13v|1.07v|0.91v|0.86v|0.84v|0.82v|0.82v|0.81v|0.81v
