|||CO Values||||
|||W1/W0||||
H/W0|0.6|0.8|1|1.2|1.4|1.6|2
0.25|1.76v|1.43v|1.24v|1.14v|1.09v|1.06v|1.06v
1|1.7v|1.36v|1.15v|1.02v|0.95v|0.9v|0.84v
4|1.46v|1.1v|0.9v|0.81v|0.76v|0.72v|0.66v
100|1.5v|1.04v|0.79v|0.69v|0.63v|0.6v|0.55v
