||||Co Values for 300≤Do≤3000->colspan||||
L/Do|0.0|0.25|0.5|0.6|0.7|0.8|0.90|1.0
Co|0.18v|0.16v|0.14v|0.11v|0.08v|0.06v|0.03v|0v
