||||||for D > 350mm (14)->colspan||||||
L/D0|0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1|1.2
Co|0.4v|0.35v|0.31v|0.26v|0.24v|0.21v|0.19v|0.16v|0.13v|0.1v|0.08v|0.02v
