||||Co Values for 300≤Do≤3000->colspan|||||
L/Do|0.0|0.3|0.5|0.75|1.0|1.5|2.0|2.5|3.0
Co|0.4v|0.33v|0.25v|0.22v|0.18v|0.14v|0.09v|0.05v|0v
