||||Co Values|||||
||||θ|||||
L/Do|0|10|20|30|40|50|60|100|180
0|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v|0.5v
0.025|0.5v|0.47v|0.45v|0.43v|0.41v|0.4v|0.42v|0.45v|0.5v
0.05|0.5v|0.45v|0.41v|0.36v|0.33v|0.3v|0.35v|0.42v|0.5v
0.075|0.5v|0.42v|0.35v|0.3v|0.26v|0.23v|0.3v|0.4v|0.5v
0.1|0.5v|0.39v|0.32v|0.25v|0.22v|0.18v|0.27v|0.38v|0.5v
0.15|0.5v|0.37v|0.27v|0.2v|0.16v|0.15v|0.25v|0.37v|0.5v
0.6|0.5v|0.27v|0.18v|0.13v|0.11v|0.12v|0.23v|0.36v|0.5v
