||||||100mm ≤D≤ 1200mm|||||||
r/D|0|0.01|0.02|0.03|0.04|0.05|0.06|0.08|0.1|0.12|0.16|0.2|10
Co|0.5v|0.44v|0.37v|0.31v|0.26v|0.22v|0.2v|0.15v|0.12v|0.09v|0.06v|0.03v|0.03v
