|||||Co Values for 300≤Do≤3000->colspan||||||
L/Do|0.0|0.50|0.60|0.70|0.80|0.90|1.0|1.5|2.0|2.50|3.0
Co|1.4v|1.4v|1.25v|1.11v|0.96v|0.82v|0.67v|0.62v|0.57v|0.52v|0.47v
